+-----------+----------------+
| bk_biz_id | template_count |
+-----------+----------------+
|       834 |            134 |
|   5016710 |             67 |
|    100993 |             64 |
|    100682 |             63 |
|   5016668 |             54 |
|    101052 |             50 |
|       815 |             48 |
|   5016772 |             36 |
|       199 |             34 |
|      1107 |             31 |
|    100415 |             28 |
|       835 |             27 |
|   5000428 |             27 |
|      1131 |             26 |
|      1182 |             26 |
|    100863 |             26 |
|      1171 |             25 |
|   5016844 |             25 |
|    100807 |             24 |
|    100951 |             23 |
|    100620 |             22 |
|      1172 |             21 |
|    100171 |             21 |
|    100442 |             20 |
|   5011748 |             20 |
|      1115 |             19 |
|    101014 |             18 |
|       198 |             18 |
|    100434 |             18 |
|    100756 |             17 |
|       934 |             16 |
|    100619 |             16 |
|    100895 |             15 |
|    100782 |             14 |
|    100651 |             14 |
|       836 |             14 |
|    100803 |             13 |
|    100808 |             13 |
|    100740 |             13 |
|   5016779 |             12 |
|       730 |             12 |
|       860 |             12 |
|    100737 |             12 |
|    100276 |             11 |
|    100553 |             11 |
|    100784 |             10 |
|    100244 |             10 |
|    100785 |              9 |
|    100805 |              9 |
|   5016796 |              9 |
|       190 |              9 |
|    100685 |              9 |
|    100137 |              9 |
|    100719 |              9 |
|    100564 |              9 |
|    100605 |              9 |
|    100810 |              7 |
|    100696 |              7 |
|    100445 |              7 |
|       455 |              7 |
|      1147 |              6 |
|      1180 |              6 |
|    100693 |              6 |
|       852 |              6 |
|   5017099 |              6 |
|   5016793 |              5 |
|    100675 |              5 |
|      1186 |              5 |
|    100844 |              5 |
|    100864 |              5 |
|    100148 |              5 |
|      1047 |              5 |
|       569 |              5 |
|       644 |              4 |
|    100333 |              4 |
|    100667 |              4 |
|       820 |              4 |
|    100392 |              4 |
|   5017031 |              4 |
|       364 |              4 |
|    100484 |              4 |
|    100275 |              3 |
|      1123 |              3 |
|   5016780 |              3 |
|   5000079 |              3 |
|   5016820 |              3 |
|    100838 |              3 |
|   5000580 |              3 |
|   5016664 |              3 |
|       638 |              3 |
|    100361 |              2 |
|      1154 |              2 |
|    100692 |              2 |
|    100133 |              2 |
|       412 |              2 |
|    100968 |              1 |
|       645 |              1 |
|       138 |              1 |
|       706 |              1 |
|       150 |              1 |
|    100668 |              1 |
|    101033 |              1 |
|       152 |              1 |
|    100371 |              1 |
|       175 |              1 |
|       817 |              1 |
|    100377 |              1 |
|   5000295 |              1 |
|   5000371 |              1 |
|   5016937 |              1 |
|       215 |              1 |
|   5017052 |              1 |
|       312 |              1 |
|    100710 |              1 |
|    100711 |              1 |
|   5016662 |              1 |
|    100912 |              1 |
|      1068 |              1 |
|   5016677 |              1 |
|    100265 |              1 |
|    100961 |              1 |
+-----------+----------------+
